TractId,State,County,TotalPop,Income,IncomePerCap,Professional,Unemployment
17031822302,Illinois,Cook County,4755,51198.0,23193.0,27.4,9.5
17031822400,Illinois,Cook County,6105,42900.0,22050.0,24.7,5.6
17031822500,Illinois,Cook County,4369,68464.0,31963.0,34.2,7.5
17031822601,Illinois,Cook County,4669,76691.0,31493.0,35.1,3.1
17031822602,Illinois,Cook County,7404,65263.0,31874.0,42.6,12.6
17031822701,Illinois,Cook County,4556,52238.0,28754.0,34.6,5.5
17031822702,Illinois,Cook County,3460,57685.0,29078.0,39.1,9.0
17031822801,Illinois,Cook County,3113,60476.0,37026.0,31.4,3.8
17031822802,Illinois,Cook County,3402,68256.0,32329.0,41.4,8.5
17031822900,Illinois,Cook County,2123,51761.0,20565.0,23.4,16.1
17031823001,Illinois,Cook County,6272,45989.0,20539.0,21.9,8.6
17031823002,Illinois,Cook County,5830,47659.0,23974.0,27.3,6.0
17031823101,Illinois,Cook County,4414,48964.0,22178.0,21.1,10.4
17031823102,Illinois,Cook County,3577,59239.0,24585.0,18.5,3.9
17031823200,Illinois,Cook County,4626,62727.0,28269.0,28.4,9.7
17031823302,Illinois,Cook County,6374,48391.0,22281.0,18.7,9.9
17031823303,Illinois,Cook County,4380,53801.0,25239.0,28.5,9.3
17031823304,Illinois,Cook County,5887,44545.0,24129.0,33.1,14.0
17031823400,Illinois,Cook County,5029,47287.0,21718.0,18.6,10.4
17031823500,Illinois,Cook County,4866,48557.0,24328.0,30.5,15.1
17031823602,Illinois,Cook County,6418,57245.0,31537.0,32.7,6.0
17031823603,Illinois,Cook County,2307,34688.0,14482.0,16.0,15.7
17031823604,Illinois,Cook County,3673,84821.0,44344.0,48.8,6.0
17031823605,Illinois,Cook County,4085,58679.0,31577.0,42.8,9.3
17031823702,Illinois,Cook County,6361,53930.0,27989.0,38.2,6.4
17031823703,Illinois,Cook County,7657,53000.0,22171.0,22.7,9.2
17031823704,Illinois,Cook County,4306,86482.0,32414.0,31.1,5.5
17031823705,Illinois,Cook County,4962,52212.0,26041.0,24.7,11.6
17031823801,Illinois,Cook County,5439,75071.0,47895.0,52.1,5.7
17031823803,Illinois,Cook County,6943,68233.0,31636.0,32.7,6.8
17031823805,Illinois,Cook County,2823,49769.0,32177.0,44.6,3.9
17031823806,Illinois,Cook County,3777,52434.0,25949.0,24.3,6.8
17031823901,Illinois,Cook County,3735,79533.0,44286.0,46.2,4.2
17031823903,Illinois,Cook County,4731,98060.0,43974.0,49.0,6.1
17031823904,Illinois,Cook County,4153,75433.0,42112.0,46.2,6.1
17031824003,Illinois,Cook County,6383,90711.0,36693.0,46.8,4.1
17031824004,Illinois,Cook County,5657,69732.0,38603.0,51.2,7.1
17031824005,Illinois,Cook County,5578,100028.0,43754.0,43.0,5.0
17031824006,Illinois,Cook County,4254,105764.0,47689.0,35.3,6.1
17031824105,Illinois,Cook County,6436,97382.0,42734.0,45.2,3.6
17031824106,Illinois,Cook County,6775,88824.0,42560.0,44.9,4.7
17031824107,Illinois,Cook County,6957,83266.0,43237.0,35.3,7.1
17031824108,Illinois,Cook County,8129,84496.0,30353.0,34.5,8.4
17031824113,Illinois,Cook County,7237,99338.0,42250.0,45.2,6.6
17031824114,Illinois,Cook County,5173,103423.0,50324.0,53.2,6.2
17031824115,Illinois,Cook County,3743,73591.0,31988.0,38.9,2.1
17031824116,Illinois,Cook County,5299,57554.0,33297.0,36.2,5.5
17031824117,Illinois,Cook County,9699,103010.0,44026.0,48.8,2.5
17031824119,Illinois,Cook County,5697,93597.0,47048.0,51.2,4.3
17031824120,Illinois,Cook County,9029,98431.0,44748.0,48.8,6.4
17031824121,Illinois,Cook County,3197,80230.0,33742.0,40.7,5.6
17031824122,Illinois,Cook County,6374,91502.0,37322.0,42.5,4.7
17031824123,Illinois,Cook County,7929,71402.0,29710.0,40.4,5.0
17031824300,Illinois,Cook County,4410,25762.0,15512.0,17.9,16.5
17031824400,Illinois,Cook County,2197,31875.0,20821.0,25.2,10.2
17031824503,Illinois,Cook County,7133,63249.0,40149.0,45.4,6.8
17031824505,Illinois,Cook County,6647,84663.0,35160.0,39.2,4.2
17031824506,Illinois,Cook County,7547,67690.0,36037.0,39.0,4.1
17031824507,Illinois,Cook County,4384,62222.0,29067.0,46.0,7.9
17031824601,Illinois,Cook County,4820,73235.0,31491.0,29.1,4.9
17031824602,Illinois,Cook County,6346,57514.0,28632.0,35.4,7.0
17031824701,Illinois,Cook County,4359,71193.0,25751.0,27.3,12.3
17031824702,Illinois,Cook County,5700,48257.0,22069.0,17.4,8.3
17031824800,Illinois,Cook County,8094,38546.0,14669.0,21.5,21.5
17031824900,Illinois,Cook County,3146,30682.0,16880.0,28.8,18.3
17031825000,Illinois,Cook County,5015,56214.0,29753.0,32.3,10.0
17031825200,Illinois,Cook County,2163,77188.0,27114.0,30.5,5.9
17031825302,Illinois,Cook County,6230,61331.0,30890.0,22.7,7.7
17031825303,Illinois,Cook County,3976,63617.0,28864.0,32.7,6.5
17031825304,Illinois,Cook County,4157,75154.0,36351.0,35.9,2.8
17031825400,Illinois,Cook County,5098,61360.0,31600.0,38.5,5.9
17031825501,Illinois,Cook County,5173,50430.0,22775.0,31.3,15.1
17031825503,Illinois,Cook County,7039,56242.0,27290.0,35.5,8.5
17031825504,Illinois,Cook County,3915,47724.0,21096.0,30.2,23.1
17031825505,Illinois,Cook County,5540,62817.0,23821.0,34.6,17.0
17031825600,Illinois,Cook County,5589,37288.0,17339.0,23.1,10.0
17031825700,Illinois,Cook County,4214,43342.0,18952.0,16.9,19.5
17031825801,Illinois,Cook County,3559,42083.0,18135.0,29.3,24.2
17031825802,Illinois,Cook County,6456,43117.0,22844.0,17.3,20.6
17031825803,Illinois,Cook County,5508,49336.0,26181.0,31.1,9.6
17031825900,Illinois,Cook County,3800,42440.0,17514.0,21.2,18.6
17031826000,Illinois,Cook County,2978,42031.0,14744.0,15.3,9.0
17031826100,Illinois,Cook County,6856,51855.0,17829.0,16.0,20.0
17031826201,Illinois,Cook County,3505,32047.0,27032.0,35.9,16.1
17031826202,Illinois,Cook County,5361,39493.0,17798.0,27.7,20.2
17031826301,Illinois,Cook County,4092,52950.0,21848.0,23.2,20.1
17031826303,Illinois,Cook County,4631,45904.0,21032.0,28.8,26.8
17031826304,Illinois,Cook County,2577,30357.0,18207.0,33.7,28.6
17031826401,Illinois,Cook County,3927,52021.0,23186.0,24.4,22.7
17031826402,Illinois,Cook County,5084,52521.0,19947.0,21.5,16.4
17031826500,Illinois,Cook County,6508,41847.0,15244.0,23.9,24.1
17031826600,Illinois,Cook County,5965,38917.0,20029.0,24.6,22.5
17031826700,Illinois,Cook County,5227,30170.0,21662.0,24.4,15.7
17031826800,Illinois,Cook County,5239,35601.0,14421.0,12.9,12.7
17031826901,Illinois,Cook County,1767,17679.0,12089.0,6.6,16.2
17031826902,Illinois,Cook County,1290,20167.0,12734.0,9.3,43.3
17031827000,Illinois,Cook County,3641,29461.0,15747.0,26.7,15.0
17031827100,Illinois,Cook County,2476,22500.0,16304.0,21.4,12.4
17031827200,Illinois,Cook County,4233,40122.0,19708.0,29.1,13.6
17031827300,Illinois,Cook County,2898,17891.0,11918.0,20.8,11.7
17031827400,Illinois,Cook County,4235,19421.0,14847.0,20.7,21.1
17031827500,Illinois,Cook County,6036,30684.0,14233.0,22.1,18.4
17031827600,Illinois,Cook County,3340,35559.0,21076.0,28.6,16.4
17031827700,Illinois,Cook County,2896,40880.0,18194.0,20.7,15.2
17031827801,Illinois,Cook County,5243,60354.0,21417.0,37.2,17.4
17031827802,Illinois,Cook County,3372,62292.0,23301.0,26.2,9.6
17031827804,Illinois,Cook County,3025,69777.0,32131.0,42.6,14.0
17031827805,Illinois,Cook County,2810,71389.0,29496.0,40.9,11.8
17031827901,Illinois,Cook County,2435,77746.0,33975.0,47.1,12.2
17031827902,Illinois,Cook County,4718,51050.0,23859.0,24.0,14.1
17031828000,Illinois,Cook County,4972,40391.0,22561.0,24.2,10.4
17031828100,Illinois,Cook County,4976,49139.0,22926.0,32.4,11.8
17031828201,Illinois,Cook County,4271,47437.0,32716.0,31.7,12.5
17031828202,Illinois,Cook County,4425,61067.0,31884.0,31.7,13.4
17031828300,Illinois,Cook County,3268,55595.0,29452.0,18.8,9.0
17031828401,Illinois,Cook County,3721,70320.0,32549.0,46.2,4.0
17031828402,Illinois,Cook County,3849,49342.0,30177.0,43.7,12.3
17031828503,Illinois,Cook County,4877,40018.0,18271.0,19.2,18.0
17031828504,Illinois,Cook County,6000,44250.0,19319.0,19.1,21.8
17031828505,Illinois,Cook County,6458,40508.0,24096.0,38.8,15.8
17031828506,Illinois,Cook County,8893,49352.0,23337.0,32.7,13.6
17031828601,Illinois,Cook County,4009,79005.0,34696.0,45.6,4.7
17031828602,Illinois,Cook County,4693,89153.0,33291.0,46.9,6.0
17031828701,Illinois,Cook County,3844,64531.0,26056.0,40.9,16.5
17031828702,Illinois,Cook County,5139,49615.0,21509.0,31.4,20.7
17031828801,Illinois,Cook County,5890,87391.0,38506.0,51.5,8.9
17031828802,Illinois,Cook County,3552,68389.0,26879.0,27.4,11.8
17031828900,Illinois,Cook County,3369,33621.0,18855.0,17.7,15.6
17031829000,Illinois,Cook County,1310,17727.0,15678.0,15.8,21.0
